volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
0.7,0.0,1.9,0.076,11.0,0.9978,3.51,0.56,9.4,5
0.88,0.0,2.6,0.098,25.0,0.9968,3.2,0.68,9.8,5
0.76,0.04,2.3,0.092,15.0,0.997,3.26,0.65,9.8,5
0.28,0.56,1.9,0.075,17.0,0.998,3.16,0.58,9.8,6
0.66,0.0,1.8,0.075,13.0,0.9978,3.51,0.56,9.4,5
0.6,0.06,1.6,0.069,15.0,0.9964,3.3,0.46,9.4,5
0.65,0.0,1.2,0.065,15.0,0.9946,3.39,0.47,10.0,7
0.58,0.02,2.0,0.073,9.0,0.9968,3.36,0.57,9.5,7
0.58,0.08,1.8,0.0969999999999999,15.0,0.9959,3.28,0.54,9.2,5
0.615,0.0,1.6,0.089,16.0,0.9943,3.58,0.52,9.9,5
0.28,0.56,1.8,0.092,35.0,0.9969,3.3,0.75,10.5,7
0.32,0.51,1.8,0.341,17.0,0.9969,3.04,1.08,9.2,6
0.39,0.31,2.3,0.0819999999999999,23.0,0.9982,3.52,0.65,9.7,5
0.43,0.21,1.6,0.106,10.0,0.9966,3.17,0.91,9.5,5
0.49,0.11,2.3,0.084,9.0,0.9968,3.17,0.53,9.4,5
0.4,0.14,2.4,0.085,21.0,0.9968,3.43,0.63,9.7,6
0.39,0.16,1.4,0.08,11.0,0.9955,3.34,0.56,9.3,5
0.41,0.24,1.8,0.08,4.0,0.9962,3.28,0.59,9.5,5
0.71,0.0,1.9,0.08,14.0,0.9972,3.47,0.55,9.4,5
0.645,0.0,2.0,0.0819999999999999,8.0,0.9964,3.38,0.59,9.8,6
0.675,0.07,2.4,0.089,17.0,0.9958,3.35,0.54,10.1,5
0.655,0.12,2.3,0.083,15.0,0.9966,3.17,0.66,9.8,5
0.32,0.25,1.8,0.103,13.0,0.9957,3.38,0.55,9.2,5
0.645,0.0,5.5,0.086,5.0,0.9986,3.4,0.55,9.6,6
0.6,0.14,2.4,0.086,3.0,0.9975,3.42,0.6,10.8,6
0.38,0.28,2.1,0.066,13.0,0.9968,3.23,0.73,9.7,7
0.45,0.36,5.9,0.074,12.0,0.9978,3.33,0.83,10.5,5
0.61,0.3,2.8,0.088,17.0,0.9976,3.26,0.51,9.3,4
0.49,0.2,2.6,0.332,8.0,0.9968,3.21,0.9,10.5,6
0.66,0.22,2.2,0.069,9.0,0.9968,3.3,1.2,10.3,5
0.935,0.43,2.2,0.114,22.0,0.997,3.25,0.73,9.2,5
0.66,0.26,1.7,0.074,4.0,0.9971,3.15,0.74,9.2,5
0.52,0.04,2.2,0.069,8.0,0.9956,3.4,0.63,9.4,6
0.5,0.04,2.1,0.068,6.0,0.9955,3.39,0.64,9.4,6
0.38,0.36,3.0,0.081,30.0,0.997,3.2,0.56,9.4,5
0.51,0.15,2.8,0.11,33.0,0.9955,3.17,0.63,10.2,6
0.42,0.57,3.4,0.07,4.0,0.9971,3.04,0.63,9.6,5
0.59,0.18,2.3,0.076,17.0,0.9975,3.43,0.59,10.0,5
0.39,0.31,2.4,0.074,9.0,0.9962,3.41,0.54,9.4,6
